id,month,bank_name,no_of_transactions,amt_of_transactions,active_users
282,01-06-2022,Dhanlaxmi Bank,82347,74108.51,17917
283,01-06-2022,ESAF Small Finance Bank,91254,24382.38,3845
284,01-06-2022,Emirates NBD Bank,216,330.13,27
285,01-06-2022,Equitas Small Finance Bank,128779,79207.82,130585
286,01-06-2022,Federal Bank,2480969,1350049.2,251344
287,01-06-2022,Fincare Small Finance Bank,37074,30984.87,5820
288,01-06-2022,Fino Payments Bank,825,52.91,509
289,01-06-2022,GP Parsik Janata Co-operative Bank,41457,54298.74,4804
290,01-06-2022,HDFC Bank,51035192,38873641.63,22123938
291,01-06-2022,HSBC,12001154,44264832.55,120201
292,01-06-2022,ICICI Bank,82677381,448816860.8,4481494
293,01-06-2022,IDBI Bank,2633653,6862561.98,600033
294,01-06-2022,IDFC First Bank,3013833,6752879.25,221674
295,01-06-2022,Indian Bank,2856645,2093696.06,1273818
296,01-06-2022,Indian Overseas Bank,3099562,2286599.71,379824
297,01-06-2022,IndusInd Bank,2920111,5315738.35,488569
298,01-06-2022,Industrial Bank of Korea,1810,6994.52,97
299,01-06-2022,Industrial and Commercial Bank of China,510,8282.76,24
300,01-06-2022,Jana Small Finance Bank,20101,13268.22,6630
301,01-06-2022,Janata Co-operative Bank Pune,70046,55351.48,6979
302,01-06-2022,Karnataka Bank,339853,481872.98,30766
303,01-06-2022,Kookmin Bank,230,457.17,72
304,01-06-2022,Kotak Mahindra Bank,11977725,26825897.58,1836614
305,01-06-2022,Mahesh Co-operative Bank Pune,6994,8928.88,4911
306,01-06-2022,NKGSB Co-operative Bank,29307,19920.83,3007
307,01-06-2022,NSDL Payments Bank,30350,1707255.5,24
308,01-06-2022,Nainital Bank,12057,17731.84,1631
309,01-06-2022,New India Co-operative Bank,6591,3116.72,1442
310,01-06-2022,North East Small Finance Bank,29492,50828.47,2853
311,01-06-2022,Paytm Payments Bank,66663,16505.98,1514
312,01-06-2022,Punjab and Sind Bank,34370,10226.17,4003
313,01-06-2022,Punjab National Bank,5306738,16319462.56,789820
314,01-06-2022,RBL Bank,470966,1096551.34,99243
315,01-06-2022,SBM Bank India,2371,1228.18,9509
316,01-06-2022,SVC Co-operative Bank,121557,148595.35,31680
317,01-06-2022,Saraswat Co-operative Bank,349983,644873.97,21131
318,01-06-2022,Shivalik Small Finance Bank,15718,20716.11,1298
319,01-06-2022,Societe Generale,1994,124000.1,12
320,01-06-2022,South Indian Bank,586917,637051.62,72663
321,01-06-2022,State Bank of India,124951351,150197711.5,34134479
322,01-06-2022,Suryoday Small Finance Bank,17644,15948.87,4043
323,01-06-2022,TJSB Co-operative Bank,112011,112590.95,14321
324,01-06-2022,Tamil Nadu State Co-operative Bank,13424,41807.84,12173
